"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2020","61.24","61.24","61.24","61.24","-","10.64%"
"Jun 02, 2020","55.35","55.35","55.35","55.35","-","0.51%"
"Jun 01, 2020","55.07","55.07","55.07","55.07","-","6.83%"
"May 29, 2020","51.55","51.55","51.55","51.55","-","1.94%"
"May 28, 2020","50.57","50.57","50.57","50.57","-","-4.55%"
"May 27, 2020","52.98","52.98","52.98","52.98","-","1.46%"
"May 26, 2020","52.22","52.22","52.22","52.22","-","1.06%"
"May 25, 2020","51.67","51.67","51.67","51.67","-","0.00%"
"May 22, 2020","51.67","51.67","51.67","51.67","-","-7.10%"
"May 21, 2020","55.62","55.62","55.62","55.62","-","-5.49%"
"May 20, 2020","58.85","58.85","58.85","58.85","-","-2.06%"
"May 19, 2020","60.09","60.09","60.09","60.09","-","2.37%"
"May 18, 2020","58.70","58.70","58.70","58.70","-","3.84%"
"May 15, 2020","56.53","56.53","56.53","56.53","-","-4.27%"
"May 14, 2020","59.05","59.05","59.05","59.05","-","2.59%"
"May 13, 2020","57.56","57.56","57.56","57.56","-","-6.04%"
"May 12, 2020","61.26","61.26","61.26","61.26","-","-0.55%"
"May 11, 2020","61.60","61.60","61.60","61.60","-","7.32%"
"May 08, 2020","57.40","57.40","57.40","57.40","-","4.50%"
"May 07, 2020","54.93","54.93","54.93","54.93","-","7.06%"
"May 06, 2020","51.31","51.31","51.31","51.31","-","3.34%"
"May 05, 2020","49.65","49.65","49.65","49.65","-","0.81%"
"May 04, 2020","49.25","49.25","49.25","49.25","-","2.37%"
"May 01, 2020","48.11","48.11","48.11","48.11","-","-10.23%"
"Apr 30, 2020","53.59","53.59","53.59","53.59","-","-6.23%"
"Apr 29, 2020","57.15","57.15","57.15","57.15","-","-2.95%"
"Apr 28, 2020","58.89","58.89","58.89","58.89","-","-6.08%"
"Apr 27, 2020","62.70","62.70","62.70","62.70","-","-5.13%"
"Apr 24, 2020","66.09","66.09","66.09","66.09","-","-1.72%"
"Apr 23, 2020","67.25","67.25","67.25","67.25","-","-6.97%"
"Apr 22, 2020","72.29","72.29","72.29","72.29","-","-2.09%"
"Apr 21, 2020","73.83","73.83","73.83","73.83","-","4.58%"
"Apr 20, 2020","70.60","70.60","70.60","70.60","-","1.09%"
"Apr 17, 2020","69.84","69.84","69.84","69.84","-","-0.13%"
"Apr 16, 2020","69.93","69.93","69.93","69.93","-","-0.81%"
"Apr 15, 2020","70.50","70.50","70.50","70.50","-","1.41%"
"Apr 14, 2020","69.52","69.52","69.52","69.52","-","-8.35%"
"Apr 13, 2020","75.85","75.85","75.85","75.85","-","1.96%"
"Apr 09, 2020","74.39","74.39","74.39","74.39","-","-1.74%"
"Apr 08, 2020","75.71","75.71","75.71","75.71","-","4.85%"
"Apr 07, 2020","72.21","72.21","72.21","72.21","-","8.95%"
"Apr 06, 2020","66.28","66.28","66.28","66.28","-","1.95%"
"Apr 03, 2020","65.01","65.01","65.01","65.01","-","-9.70%"
"Apr 02, 2020","71.99","71.99","71.99","71.99","-","-13.40%"
"Apr 01, 2020","83.13","83.13","83.13","83.13","-","-0.88%"
"Mar 31, 2020","83.87","83.87","83.87","83.87","-","-7.53%"
"Mar 30, 2020","90.70","90.70","90.70","90.70","-","2.68%"
"Mar 27, 2020","88.33","88.33","88.33","88.33","-","-0.17%"
"Mar 26, 2020","88.48","88.48","88.48","88.48","-","1.54%"
"Mar 25, 2020","87.14","87.14","87.14","87.14","-","-21.56%"
"Mar 24, 2020","111.09","111.09","111.09","111.09","-","-17.94%"
"Mar 23, 2020","135.38","135.38","135.38","135.38","-","1.51%"
"Mar 20, 2020","133.37","133.37","133.37","133.37","-","-5.50%"
"Mar 19, 2020","141.13","141.13","141.13","141.13","-","13.69%"
"Mar 18, 2020","124.14","124.14","124.14","124.14","-","13.01%"
"Mar 17, 2020","109.85","109.85","109.85","109.85","-","-11.79%"
"Mar 16, 2020","124.53","124.53","124.53","124.53","-","-10.02%"
"Mar 13, 2020","138.40","138.40","138.40","138.40","-","-9.32%"
"Mar 12, 2020","152.62","152.62","152.62","152.62","-","19.38%"
"Mar 11, 2020","127.84","127.84","127.84","127.84","-","3.33%"
"Mar 10, 2020","123.72","123.72","123.72","123.72","-","-24.42%"
"Mar 09, 2020","163.70","163.70","163.70","163.70","-","30.74%"
"Mar 06, 2020","125.21","125.21","125.21","125.21","-","29.14%"
"Mar 05, 2020","96.96","96.96","96.96","96.96","-","8.23%"
"Mar 04, 2020","89.59","89.59","89.59","89.59","-","-12.99%"
"Mar 03, 2020","102.97","102.97","102.97","102.97","-","-1.83%"
"Mar 02, 2020","104.89","104.89","104.89","104.89","-","-4.36%"
"Feb 28, 2020","109.67","109.67","109.67","109.67","-","18.45%"
"Feb 27, 2020","92.59","92.59","92.59","92.59","-","6.43%"
"Feb 26, 2020","87.00","87.00","87.00","87.00","-","-0.43%"
