"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","56.97","60.07","60.22","55.63","-","-5.18%"
"Apr 27, 2020","60.08","64.88","67.81","59.54","-","-3.19%"
"Apr 24, 2020","62.06","66.45","70.55","62.06","-","-6.97%"
"Apr 23, 2020","66.71","66.71","77.99","52.79","-","-1.17%"
"Apr 22, 2020","67.50","68.73","73.50","62.58","-","-0.98%"
"Apr 21, 2020","68.17","70.53","71.77","67.06","-","-0.64%"
"Apr 20, 2020","68.61","69.96","72.55","65.44","-","0.85%"
"Apr 17, 2020","68.03","68.52","68.52","64.53","-","0.70%"
"Apr 16, 2020","67.56","66.12","70.84","62.77","-","1.82%"
"Apr 15, 2020","66.35","66.90","79.43","62.43","-","-0.79%"
"Apr 14, 2020","66.88","63.23","67.90","63.23","-","2.04%"
"Apr 13, 2020","65.54","65.96","71.63","64.21","-","3.39%"
"Apr 09, 2020","63.39","64.14","80.51","54.27","-","0.64%"
"Apr 08, 2020","62.99","65.47","77.53","62.47","-","-2.22%"
"Apr 07, 2020","64.42","67.93","67.93","61.30","-","-1.06%"
"Apr 06, 2020","65.11","65.52","74.54","54.57","-","-0.34%"
"Apr 03, 2020","65.33","69.41","80.78","54.72","-","-5.21%"
"Apr 02, 2020","68.92","74.42","84.79","63.43","-","-5.03%"
"Apr 01, 2020","72.57","75.82","77.54","71.99","-","-3.57%"
