"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2020","22.71","22.45","23.11","21.57","-","1.16%"
"May 12, 2020","22.45","22.86","23.05","21.56","-","-4.67%"
"May 11, 2020","23.55","24.89","24.89","22.98","-","-5.38%"
"May 08, 2020","24.89","26.15","26.90","24.77","-","-4.82%"
"May 07, 2020","26.15","24.47","26.91","23.73","-","6.87%"
"May 06, 2020","24.47","24.47","25.06","24.28","-","-2.00%"
"May 05, 2020","24.97","23.68","24.98","23.21","-","5.45%"
"May 04, 2020","23.68","24.25","25.09","23.63","-","-2.35%"
"May 01, 2020","24.25","24.24","25.04","23.66","-","0.04%"
"Apr 30, 2020","24.24","23.34","25.18","22.92","-","0.33%"
"Apr 29, 2020","24.16","24.43","24.43","22.73","-","-1.11%"
"Apr 28, 2020","24.43","25.58","26.49","23.92","-","-8.67%"
"Apr 27, 2020","26.75","29.22","29.22","26.40","-","-8.45%"
"Apr 24, 2020","29.22","30.25","30.25","28.81","-","-3.40%"
"Apr 23, 2020","30.25","30.35","30.59","29.60","-","-0.62%"
"Apr 22, 2020","30.44","29.46","30.56","29.06","-","-0.59%"
"Apr 21, 2020","30.62","28.01","31.39","28.01","-","9.32%"
"Apr 20, 2020","28.01","26.96","28.03","26.96","-","3.89%"
"Apr 17, 2020","26.96","27.74","27.74","26.28","-","-2.81%"
"Apr 16, 2020","27.74","25.67","28.09","23.96","-","1.28%"
"Apr 15, 2020","27.39","28.59","28.85","26.90","-","-5.13%"
"Apr 14, 2020","28.87","28.91","29.88","28.38","-","1.62%"
"Apr 13, 2020","28.41","27.59","30.72","27.59","-","2.97%"
"Apr 09, 2020","27.59","31.85","32.19","26.94","-","-7.97%"
"Apr 08, 2020","29.98","32.79","33.10","29.16","-","-12.52%"
"Apr 07, 2020","34.27","35.27","35.29","33.34","-","-4.17%"
"Apr 06, 2020","35.76","31.85","35.78","31.85","-","12.28%"
"Apr 03, 2020","31.85","31.18","32.12","29.75","-","-0.19%"
"Apr 02, 2020","31.91","29.76","32.81","29.66","-","5.45%"
"Apr 01, 2020","30.26","29.68","30.82","28.89","-","3.67%"
